 ****************** Start US v. 1.94 at 2014-11-25 22:45:33 ******************
 
 APS: DLSR H7BA 60 pm, Nb=48, coupling 100%, LS-337, M. Borland, 10/01/2013
 energy   6.000 GeV   current 200.0 mA   sige   0.0010000
 sigx    0.0074  mm   sigy   0.0109 mm   sigx1  0.0057 mr   sigy1  0.0038 mr
 period   2.700  cm   N          86      Kx      0.000      Ky      2.282
 emin    1000.0  eV   emax  50000.0 eV   ne      10000
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      0.000  mm   yps     0.000 mm   nxp         0      nyp         0
 mode         2       method      4      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      3513.5  eV   l1      3.529  A
 ptot    8666.6   W   pd      239.5  W/mm^2
 
 
 Irradiance for   0.000 mm,  0.000 mm  @  30.000 m (ph/s/mm^2/0.1%bw):
 Integrated flux  density  7.430E+16 ph/s/mm^2
 Integrated power density      168.2 W/mm^2
 Contributing harmonics    1 to   14
 
 Energy(eV)   Irradiance          p1      p2      p3      p4
   1000.000   0.000000E+00     0.000   0.000   0.000   0.000
   1004.900   0.000000E+00     0.000   0.000   0.000   0.000
   1009.800   0.000000E+00     0.000   0.000   0.000   0.000
   1014.700   0.000000E+00     0.000   0.000   0.000   0.000
   1019.600   0.000000E+00     0.000   0.000   0.000   0.000
   1024.500   0.000000E+00     0.000   0.000   0.000   0.000
   1029.400   0.000000E+00     0.000   0.000   0.000   0.000
   1034.300   0.000000E+00     0.000   0.000   0.000   0.000
   1039.200   0.000000E+00     0.000   0.000   0.000   0.000
   1044.100   0.000000E+00     0.000   0.000   0.000   0.000
   1049.000   0.000000E+00     0.000   0.000   0.000   0.000
   1053.900   0.000000E+00     0.000   0.000   0.000   0.000
   1058.800   0.000000E+00     0.000   0.000   0.000   0.000
   1063.700   0.000000E+00     0.000   0.000   0.000   0.000
   1068.600   0.000000E+00     0.000   0.000   0.000   0.000
   1073.500   0.000000E+00     0.000   0.000   0.000   0.000
   1078.400   0.000000E+00     0.000   0.000   0.000   0.000
   1083.300   0.000000E+00     0.000   0.000   0.000   0.000
   1088.200   0.000000E+00     0.000   0.000   0.000   0.000
   1093.100   0.000000E+00     0.000   0.000   0.000   0.000
   1098.000   0.000000E+00     0.000   0.000   0.000   0.000
   1102.900   0.000000E+00     0.000   0.000   0.000   0.000
   1107.800   0.000000E+00     0.000   0.000   0.000   0.000
   1112.700   0.000000E+00     0.000   0.000   0.000   0.000
   1117.600   0.000000E+00     0.000   0.000   0.000   0.000
   1122.500   0.000000E+00     0.000   0.000   0.000   0.000
   1127.400   0.000000E+00     0.000   0.000   0.000   0.000
   1132.300   0.000000E+00     0.000   0.000   0.000   0.000
   1137.200   0.000000E+00     0.000   0.000   0.000   0.000
   1142.100   0.000000E+00     0.000   0.000   0.000   0.000
   1147.000   0.000000E+00     0.000   0.000   0.000   0.000
   1151.900   0.000000E+00     0.000   0.000   0.000   0.000
   1156.800   0.000000E+00     0.000   0.000   0.000   0.000
   1161.700   0.000000E+00     0.000   0.000   0.000   0.000
   1166.600   0.000000E+00     0.000   0.000   0.000   0.000
   1171.500   0.000000E+00     0.000   0.000   0.000   0.000
   1176.400   0.000000E+00     0.000   0.000   0.000   0.000
   1181.300   0.000000E+00     0.000   0.000   0.000   0.000
   1186.200   0.000000E+00     0.000   0.000   0.000   0.000
   1191.100   0.000000E+00     0.000   0.000   0.000   0.000
   1196.000   0.000000E+00     0.000   0.000   0.000   0.000
   1200.900   0.000000E+00     0.000   0.000   0.000   0.000
   1205.800   0.000000E+00     0.000   0.000   0.000   0.000
   1210.700   0.000000E+00     0.000   0.000   0.000   0.000
   1215.600   0.000000E+00     0.000   0.000   0.000   0.000
   1220.500   0.000000E+00     0.000   0.000   0.000   0.000
   1225.400   0.000000E+00     0.000   0.000   0.000   0.000
   1230.300   0.000000E+00     0.000   0.000   0.000   0.000
   1235.200   0.000000E+00     0.000   0.000   0.000   0.000
   1240.100   0.000000E+00     0.000   0.000   0.000   0.000
   1245.000   0.000000E+00     0.000   0.000   0.000   0.000
   1249.900   0.000000E+00     0.000   0.000   0.000   0.000
   1254.800   0.000000E+00     0.000   0.000   0.000   0.000
   1259.700   0.000000E+00     0.000   0.000   0.000   0.000
   1264.600   0.000000E+00     0.000   0.000   0.000   0.000
   1269.500   0.000000E+00     0.000   0.000   0.000   0.000
   1274.400   0.000000E+00     0.000   0.000   0.000   0.000
   1279.300   0.000000E+00     0.000   0.000   0.000   0.000
   1284.200   0.000000E+00     0.000   0.000   0.000   0.000
   1289.100   0.000000E+00     0.000   0.000   0.000   0.000
   1294.000   0.000000E+00     0.000   0.000   0.000   0.000
   1298.900   0.000000E+00     0.000   0.000   0.000   0.000
   1303.800   0.000000E+00     0.000   0.000   0.000   0.000
   1308.700   0.000000E+00     0.000   0.000   0.000   0.000
   1313.600   0.000000E+00     0.000   0.000   0.000   0.000
   1318.500   0.000000E+00     0.000   0.000   0.000   0.000
   1323.400   0.000000E+00     0.000   0.000   0.000   0.000
   1328.300   0.000000E+00     0.000   0.000   0.000   0.000
   1333.200   0.000000E+00     0.000   0.000   0.000   0.000
   1338.100   0.000000E+00     0.000   0.000   0.000   0.000
